time,setpoint,sensor,sinyal kendali
2024-08-25 17:56:36.512789,36.0,26.79,100
2024-08-25 17:56:36.713449,36.0,26.87,100
2024-08-25 17:56:36.943554,36.0,26.84,100
2024-08-25 17:56:37.146186,36.0,26.84,100
2024-08-25 17:56:37.346329,36.0,26.9,100
2024-08-25 17:56:37.574552,36.0,26.9,100
2024-08-25 17:56:37.779145,36.0,26.9,100
2024-08-25 17:56:38.006433,36.0,26.89,100
2024-08-25 17:56:38.211880,36.0,26.94,100
2024-08-25 17:56:38.412163,36.0,26.93,100
2024-08-25 17:56:38.641439,36.0,26.92,100
2024-08-25 17:56:38.844767,36.0,26.94,100
2024-08-25 17:56:39.045896,36.0,27.01,100
2024-08-25 17:56:39.271463,36.0,27.02,100
2024-08-25 17:56:39.473465,36.0,27.02,100
2024-08-25 17:56:39.676531,36.0,27.02,100
2024-08-25 17:56:39.876095,36.0,27.02,100
2024-08-25 17:56:40.106368,36.0,27.1,100
2024-08-25 17:56:40.309872,36.0,27.08,100
2024-08-25 17:56:40.509851,36.0,27.13,100
2024-08-25 17:56:40.741457,36.0,27.13,100
2024-08-25 17:56:40.948638,36.0,27.13,100
2024-08-25 17:56:41.148762,36.0,27.13,100
2024-08-25 17:56:41.370136,36.0,27.13,100
2024-08-25 17:56:41.571023,36.0,27.14,100
2024-08-25 17:56:41.775574,36.0,27.15,100
2024-08-25 17:56:41.975617,36.0,27.17,100
2024-08-25 17:56:42.206972,36.0,27.17,100
2024-08-25 17:56:42.411094,36.0,27.25,100
2024-08-25 17:56:42.637313,36.0,27.25,100
2024-08-25 17:56:42.838729,36.0,27.25,100
2024-08-25 17:56:43.041698,36.0,27.25,100
2024-08-25 17:56:43.239448,36.0,27.28,100
2024-08-25 17:56:43.469749,36.0,27.28,100
2024-08-25 17:56:43.673937,36.0,27.26,100
2024-08-25 17:56:43.873680,36.0,27.37,100
2024-08-25 17:56:44.105242,36.0,27.34,100
2024-08-25 17:56:44.310968,36.0,27.37,100
2024-08-25 17:56:44.512618,36.0,27.37,100
2024-08-25 17:56:44.738060,36.0,27.37,100
